# MindBloom Quotes - Add your own below!
# Format: CATEGORY | Quote text

Focus | Success is the sum of small efforts repeated day in and day out.
Focus | The secret of getting ahead is getting started.
Focus | Don't watch the clock; do what it does. Keep going.
Focus | Your focus determines your reality.
Focus | One step at a time is good walking.

Positivity | Every day may not be good, but there is something good in every day.
Positivity | Your time is limited, don't waste it living someone else's life.
Positivity | The only way to do great work is to love what you do.
Positivity | Believe you can and you're halfway there.
Positivity | Happiness is not by chance, but by choice.

Discipline | Discipline is choosing between what you want now and what you want most.
Discipline | The only way to build true discipline is through practice.
Discipline | Excellence is not a skill, it's a habit.
Discipline | Small daily improvements are the key to success.
Discipline | Your future self will thank you for what you do today.

Stress Relief | Breathe. Let go. And remind yourself that this too shall pass.
Stress Relief | You are braver than you believe, stronger than you seem, and smarter than you think.
Stress Relief | Anxiety is temporary; your strength is permanent.
Stress Relief | Peace comes from within. Do not seek it without.
Stress Relief | Take care of your body. It's the only place you have to live.
